precio;dist_centro;long;metros;planta;tipo_vivienda;n_banos;n_habitaciones;barrio;ciudad;renta_media_barrio_persona;ascensor;garaje;trastero
16800;0.01856246264644492;254159.8992248062;45;236459.85382830625;252778.02649006623;1;3;90312.65868263473;190057.55539568345;18614.0;1;0;0
72000;1.2460384579704027;254159.8992248062;62;262086.6534090909;252778.02649006623;1;3;168983.80555555556;190057.55539568345;24683.0;1;0;0
89000;1.5877893579785416;254159.8992248062;80;236459.85382830625;252778.02649006623;1;3;197418.125;190057.55539568345;25654.0;1;0;0
430000;0.6689467790677657;430000.0;100;262086.6534090909;252778.02649006623;2;2;327772.18343195267;190057.55539568345;32596.0;1;1;0
475800;1.3767802015735628;254159.8992248062;121;230998.28666666665;252778.02649006623;2;4;522040.97222222225;334480.57597816194;35702.0;1;1;0
304500;9.301895204153878;304500.0;150;290345.9590643275;371941.38;2;4;227430.84246575343;190057.55539568345;24575.0;0;1;0
192434;3.0737485106451934;201660.45454545456;116;262086.6534090909;252778.02649006623;2;3;227430.84246575343;190057.55539568345;24575.0;0;1;1
220000;2.1133734375860627;254159.8992248062;65;291211.22388059704;252778.02649006623;1;2;341987.5;334480.57597816194;24509.0;1;0;0
89900;1.051900990102146;254159.8992248062;89;236459.85382830625;252778.02649006623;2;3;191365.7;190057.55539568345;24683.0;1;0;0
295000;1.468185691904577;254159.8992248062;85;289652.5281385281;252778.02649006623;1;3;318473.3333333333;334480.57597816194;21511.0;1;0;0
360000;2.045865291396991;254159.8992248062;70;230998.28666666665;252778.02649006623;1;2;522040.97222222225;334480.57597816194;35702.0;1;0;0
290000;1.7745135233373526;254159.8992248062;180;236459.85382830625;252778.02649006623;2;4;197418.125;190057.55539568345;25654.0;1;1;1
680000;1.5420355409566944;254159.8992248062;140;225398.6948051948;252778.02649006623;2;3;522040.97222222225;334480.57597816194;35702.0;1;0;0
53000;1.5241207500010143;53000.0;82;262086.6534090909;252778.02649006623;1;3;111267.36956521739;190057.55539568345;19.537;0;0;0
37600;0.01856246264644492;254159.8992248062;52;225398.6948051948;173195.92741935485;1;1;90312.65868263473;190057.55539568345;18614.0;0;0;0
117000;32.709137327389854;254159.8992248062;76;225398.6948051948;252778.02649006623;1;3;114894.54545454546;190057.55539568345;17745.0;1;0;0
279000;1.1083848878492242;254159.8992248062;95;225398.6948051948;252778.02649006623;2;3;219496.55172413794;334480.57597816194;16822.0;1;0;0
189000;0.4354141220827078;254159.8992248062;120;225398.6948051948;252778.02649006623;1;2;282493.75;334480.57597816194;22492.0;0;0;0
147000;2.7901334949802457;254159.8992248062;85;225398.6948051948;252778.02649006623;2;2;129749.85714285714;190057.55539568345;26645.0;1;1;1
130000;3.1294080550222367;130000.0;89;225398.6948051948;252778.02649006623;1;3;170424.95833333334;190057.55539568345;19537.0;1;1;0
229000;39.94437868055557;229000.0;110;262086.6534090909;252778.02649006623;1;2;327772.18343195267;190057.55539568345;32596.0;0;0;0
128500;1.084538510195573;254159.8992248062;84;262086.6534090909;252778.02649006623;1;3;168983.80555555556;190057.55539568345;24683.0;1;0;0
480000;0.2227403933565128;480000.0;164;236459.85382830625;252778.02649006623;3;4;327772.18343195267;190057.55539568345;32596.0;1;1;1
570000;0.305122011107909;254159.8992248062;160;230998.28666666665;252778.02649006623;2;3;327772.18343195267;190057.55539568345;32596.0;1;1;0
165000;4.49978792687003;165000.0;90;236459.85382830625;252778.02649006623;2;3;157271.42857142858;190057.55539568345;20471.0;1;1;1
180000;0.305122011107909;254159.8992248062;70;291211.22388059704;252778.02649006623;1;3;327772.18343195267;190057.55539568345;32596.0;1;0;1
131500;1.4637461794281688;254159.8992248062;60;283393.22222222225;252778.02649006623;1;2;184121.21212121213;334480.57597816194;14943.0;1;0;0
580000;0.8021446511017181;254159.8992248062;117;262086.6534090909;252778.02649006623;3;5;421456.0;334480.57597816194;35944.0;1;0;0
94000;1.0403581779184563;254159.8992248062;84;236459.85382830625;252778.02649006623;1;3;238646.66666666666;190057.55539568345;25912.0;0;0;1
164000;1.394585892406357;254159.8992248062;67;291211.22388059704;275298.29411764705;1;3;168983.80555555556;190057.55539568345;24683.0;1;0;1
128000;3.1294080550222367;254159.8992248062;110;225398.6948051948;252778.02649006623;1;3;227430.84246575343;190057.55539568345;24575.0;1;1;0
155000;0.7031344529628399;254159.8992248062;86;262086.6534090909;252778.02649006623;1;2;182264.6875;334480.57597816194;14536.0;1;0;0
250000;8858.027780382601;254159.8992248062;193;225398.6948051948;252778.02649006623;3;6;166590.6976744186;334480.57597816194;15431.0;1;0;1
199000;0.4545516708109749;254159.8992248062;145;225398.6948051948;252778.02649006623;1;3;327772.18343195267;190057.55539568345;32596.0;0;0;0
385000;0.0;254159.8992248062;125;225398.6948051948;252778.02649006623;2;2;288867.7966101695;334480.57597816194;19921.0;0;0;1
695000;0.8021446511017181;254159.8992248062;154;289652.5281385281;252778.02649006623;3;3;421456.0;334480.57597816194;35944.0;1;0;1
268000;0.305122011107909;254159.8992248062;100;236459.85382830625;252778.02649006623;2;3;327772.18343195267;190057.55539568345;32596.0;1;1;0
272000;1.948530691789747;272000.0;109;283393.22222222225;252778.02649006623;2;3;231266.66666666666;190057.55539568345;25538.0;1;1;1
157800;5.336312574587503;254159.8992248062;72;236459.85382830625;252778.02649006623;2;2;176404.87931034484;190057.55539568345;17745.0;1;1;1
398000;2.1133734375860627;254159.8992248062;110;236459.85382830625;252778.02649006623;2;3;341987.5;334480.57597816194;24509.0;1;1;0
